0,-36
0,-28
-16,377
-2,23
-3,55
0,-6
-23,430
-3,47
-14,220
-7,89
26,-830
5,-3
12,40
3,19
27,285
-2,13
-4,164
-2,88
125,-96
-5,-75
-7,-123
-2,-9
5,-142
0,-4
-1,25
-2,25
44,0
-1,-26
0,-26
0,3
6,143
-2,9
-6,122
-4,75
126,96
-2,-90
-3,-164
-2,-14
28,-285
3,-19
12,-41
5,3
27,829
-6,-90
-14,-220
-2,-48
-22,-430
1,5
-3,-56
-1,-23
-15,-378
1,28
1,36
0,3
-2,16
0,1
1,-4
1,-4
-11,52
-1,2
-1,4
0,0
6,-17
2,-9
19,-78
14,-57
-185,798
-11,44
-26,103
3,-9
-192,761
-22,82
-99,372
-40,149
326,-1475
9,8
6,106
-2,42
-52,573
-8,21
-61,288
-33,156
239,6
19,-140
31,-227
1,-17
60,-254
2,-7
-9,48
-11,46
84,17
8,-49
10,-50
0,7
-45,279
-7,17
-67,253
-43,159
276,50
35,-190
68,-358
1,-28
234,-743
20,-57
70,-152
20,-18
-379,2056
25,-205
70,-522
17,-118
163,-1104
-1,13
23,-153
9,-65
219,-1256
-12,86
